Movie	Genre	MPAA rating	Origin	Roger Ebert	Nominations	Wins	Sequel	Budget	First weekend gross	Month of opening weekend releas	First weekend number of screens	Total domestic gross	Total UK gross
Coffee and Cigarettes	Comedy	R	USA / Japan / Italy	3	0	0	n		99162	5.14.04	5	1971135	
Collateral	Action	R	USA	3.5	1	0	n	65000000	24701458	8.6.04	3188	100003492	8192302
Confessions of a Teenage Drama Queen	Comedy	PG	USA		0	0	n	15000000	9350572	2.20.04	2503	29302097	395519
Connie and Carla	Comedy 	PG-13	USA	1.5	0	0	n		3254940	4.16.04	1014	8054280	333582
Control Room	Documentary		USA	3	0	0	n		27125	5.21.04	1	2586511	
Criminal	Drama 	R	USA	2.5	0	0	n		283209	9.10.04	77	923426	
Danny Deckchair	Comedy	PG-13	Australia	2	0	0	n		10304	8.13.04	4	159279	
Darkness	Horror	PG-13	USA / Spain		0	0	n	10600000	6163306	12.24.04	1700	22160085	102154
Dawn of the Dead	Action	R	USA	3	0	0	n	28000000	26722575	3.19.04	2745	58885635	5434023
Days of Being Wild	Drama		Hong Kong		0	0	n		18090	11.19.04	1	141864	
De-Lovely	Biography	PG-13	USA / UK	3.5	0	0	n	4000000	400001	7.2.04	16	13337299	117789
Dirty Dancing: Havana Nights	Romance 	PG-13	USA	2	0	0	y		5811325	2.27.04	2042	14140215	
"Disney's Teacher's Pet"	Animation 	PG	USA 		0	0	n	10000000	3602245	1.16.04	2027	6491350	
DodgeBall: A True Underdog Story	Comedy	PG-13	USA / Germany 	3	0	0	n	20000000	30070196	6.18.04	2694	114324072	9947884
Dogville	Drama	R	Denmark / Sweden / France / Norway / Netherlands / Finland / Germany / USA / UK 	2	0	0	n		88855	3.26.04	9	1530386	
"Donnie Darko: The Director's Cut"	Drama	R	USA	2.5	0	0	n	4500000	24728	6.4.04	7	727883	1149280
Easy	Comedy	R	USA		0	0	n		14811	11.26.04	6	14811	
Ella Enchanted	Comedy	PG	USA / Ireland / UK 	3.5	0	0	n	35000000	6169030	4.9.04	1931	22913677	535758
Enduring Love	Drama	R	UK	3	0	0	n		34610	10.29.04	5	358262	404824
Envy	Comedy	PG-13	USA	2	0	0	n	40000000	6160886	4.30.04	2445	12181484	
Eternal Sunshine of the Spotless Mind	Drama 	R	USA	3.5	1	0	n	20000000	8175198	3.19.04	1353	34126138	4874405
Eulogy	Comedy	R	USA / UK / Germany		0	0	n	10000000	41788	10.15.04	22	70527	
Eurotrip	Comedy	R	USA / Czech Republic 		0	0	n	25000000	6711384	2.20.04	2512	17718223	454451
Exorcist: The Beginning	Horror	R	USA		0	0	n	30000000	18054001	8.20.04	2803	41814863	1010404
Facing Windows	Drama	R	Italy / UK / Turkey / Portugal 		0	0	n		36061	6.18.04	7	541682	
Fade to Black	Documentary	R	USA		0	0	n		449331	11.5.04	170	728243	
Fahrenheit 9/11	Documentary	R	USA	3.5	0	0	n	6000000	23920637	6.25.04	868	119194771	6049187
Fat Albert	Comedy	PG	USA	2	0	0	n		10021510	12.24.04	2674	48114556	
Festival Express	Documentary	R	UK / Netherlands		0	0	n		12074	7.23.04	1	1172345	
Finding Neverland	Drama	PG	UK / USA	3.5	2	0	n		220524	11.12.04	8	51676606	3306342
First Daughter	Comedy	PG	USA	2	0	0	n		4002067	9.24.04	2260	9055010	
Flavors	Comedy		USA		0	0	n		56000	7.16.04	14	93370	
Friday Night Lights	Action	PG-13	USA	3.5	0	0	n	30000000	20269025	10.8.04	2667	61188085	
Garden State	Drama	R	USA	3	0	0	n	2500000	201115	7.30.04	9	26781723	692749
Garfield: The Movie	Comedy 	PG	USA	3	0	0	n	50000000	21727611	6.11.04	3094	75367693	9352051
Ghost in the Shell 2: Innocence	Action	PG-13	Japan		0	0	y		317722	9.17.04	47	924482	
Godsend	Drama	PG-13	USA / Canada	2	0	0	n		6800617	4.30.04	2323	14334645	1563439
Godzilla(1998)	Sci-Fi	PG-13	USA	1.5	0	0	n	125000000	55726951	5.7.04	3310	136023813	15920578
Going Upriver: The Long War of John Kerry	Documentary	PG-13	USA	3	0	0	n		279219	10.1.04	163	613252	
Good Bye Lenin!	Comedy	R	Germany 	3	0	0	n		57968	2.27.04	6	4063859	1019039
Guerrilla: The Taking of Patty Hearst	Documentary		USA		0	0	n		22444	11.26.04	4	101439	
Guiana 1838	Drama		USA / Guyana		0	0	n		106880	9.24.04	10	227241	
Hair Show	Comedy	PG-13	USA		0	0	n		201567	10.15.04	38	302990	
Harold and Kumar Go to White Castle	Adventure	R	USA / Canada / Germany	3	0	0	n	9000000	5480378	7.30.04	2135	18225165	284050
Harry Potter and the Prisoner of Azkaban	Adventure	PG	USA / UK	3.5	0	0	y	130000000	93687367	6.4.04	3855	249358727	45615949
Head in the Clouds	Drama	R	USA / UK / Spain / Canada	3	0	0	n		46133	9.17.04	10	398179	
Hellboy	Action 	PG-13	USA	3.5	0	0	n	66000000	23172440	4.2.04	3028	59035104	3005789
Hero	Action	PG-13	Hong Kong / China 	3.5	0	0	n	30000000	18004319	8.27.04	2031	53583486	3561527
Hidalgo	Action	PG-13	USA	3	0	0	n	78000000	18829435	3.5.04	3063	67286731	799464
Highwaymen	Action 	R	Canada		0	0	n		216697	2.13.04	111	367027	44388
Home on the Range	Animation 	PG	USA	2.5	0	0	n	110000000	13880771	4.2.04	3047	50026353	1435295
Hotel Rwanda	Drama	PG-13	UK / Italy / South Africa	4	2	0	n		100091	12.24.04	7	23472900	1337101
House of Flying Daggers	Action	PG-13	China / Hong Kong	4	0	0	n		397472	12.3.04	15	11041228	3176558
Hum Tum	Drama		India		0	0	n		348149	5.28.04	43	348149	523671
"I'll Sleep When I'm Dead"	Thriller	R	UK / USA	3.5	0	0	n		13415	6.18.04	2	358804	
"I'm Not Scared"	Drama 	R	Italy / Spain / UK 	3.5	0	0	n		48292	4.9.04	4	1615118	111309
I Am David	Drama	PG	USA	1.5	0	0	n		160346	12.3.04	226	284002	
I Heart Huckabees	Comedy	R	USA / Germany	2	0	0	n	22000000	292177	10.1.04	4	12784713	505572
I Robot	Action	PG-13	USA	2	0	0	n	105000000	52179887	7.16.04	3420	144795350	17790336
In Good Company	Comedy	PG-13	USA	3	0	0	n		151750	12.31.04	3	45489752	1074695
In the Realms of the Unreal	Documentary		USA		0	0	n		15477	12.24.04	3	413708	
Intermission	Crime 	R	Ireland / UK 	3.5	0	0	n	5000000	39936	3.19.04	10	889857	1961709
Intimate Strangers	Drama	R	France	3.5	0	0	n		55836	7.30.04	5	2106677	90580
Jersey Girl	Comedy	PG-13	USA	3.5	0	0	n	35000000	8319171	3.26.04	1520	25266129	423556
Johnson Family Vacation	Comedy	PG-13	USA	2	0	0	n	12000000	9375307	4.9.04	1317	31179516	
Kill Bill Vol. 2	Action 	R	USA	4	0	0	y	30000000	25104949	4.16.04	2971	66207920	9068461
King Arthur	Action	PG-13	USA / Ireland 	3	0	0	n	90000000	15193907	7.9.04	3086	51877963	6804952
Kinsey	Biography	R	USA / Germany	4	1	0	n	11000000	169038	11.12.04	5	10214647	
Kitchen Stories	Comedy	PG	Norway / Sweden 		0	0	n		48103	2.20.04	8	349315	
Ladder 49	Action	PG-13	USA	3.5	0	0	n		22088204	10.1.04	3260	74541707	428077
Lakshya	War		India		0	0	n		606000	6.18.04	57	752344	212212
Latter Days	Comedy 	R	USA	2.5	0	0	n	850000	33956	1.30.04	4	819939	
Laws of Attraction	Comedy	PG-13	Ireland / UK / Germany	2	0	0	n	28000000	6728905	4.30.04	2449	17848322	1241072
"Lemony Snicket's A Series of Unfortunate Events"	Adventure	PG	USA / Germany	2.5	0	0	n	125000000	30061756	12.17.04	3620	118627117	13114720
Lightning in a Bottle	Documentary	PG-13	USA		0	0	n		5300	10.22.04	2	201574	
Little Black Book	Comedy	PG-13	USA	3	0	0	n	35000000	7075217	8.6.04	2445	20422207	
Love Me If You Dare	Drama	R	France / Belgium	2	0	0	n		21546	5.21.04	3	548707	
Love Sex and Eating the Bones	Comedy	R	Canada		0	0	n		32648	3.5.04	8	116869	
Main Hoon Na	Action		India		0	0	n		840000	4.30.04		1722450	928090
Man on Fire	Action 	R	USA / UK / Mexico	2.5	0	0	n	70000000	22751490	4.23.04	2979	77862546	2225707
Maria Full of Grace	Drama	R	USA / Colombia 	3.5	1	0	n		139066	7.16.04	7	6517198	232674
Masti	Comedy 		India		0	0	n		162687	4.9.04	27	162687	77821
Mayor of the Sunset Strip	Documentary	R	USA	3	0	0	n		21722	3.26.04	7	257315	
Mean Creek	Drama	R	USA	3	0	0	n	500000	29170	8.20.04	4	603943	
Mean Girls	Comedy	PG-13	USA	3	0	0	n	17000000	24432195	4.30.04	2839	86049418	5411323
Meet the Fockers	Comedy	PG-13	USA	2	0	0	y	80000000	46120980	12.24.04	3518	279167575	28549465
Metallica: Some Kind of Monster	Documentary		USA	3	0	0	n		46359	7.9.04	3	1222708	
Mickey	Drama	PG	USA		0	0	n	6000000	75235	4.30.04	42	293793	
Million Dollar Baby	Drama 	PG-13	USA	4	5	4	n	30000000	179953	12.17.04	8	100422786	5157776
Miracle	Drama 	PG	USA 	2	0	0	n		19377577	2.6.04	2605	64371181	
Monsieur Ibrahim	Drama 	R	France	3	0	0	n		65696	2.13.04	7	2823837	
"Monty Python's Life of Brian"	Comedy	R	UK	3	0	0	n	4000000	26376	4.30.04	4	646124	
Moolaade	Drama		Senegal / France / Burkina Faso / Cameroon / Morocco / Tunisia	4	0	0	n		11982	10.15.04	2	212853	
Mr. 3000	Comedy	PG-13	USA	3	0	0	n	30000000	8679028	9.17.04	2736	21800302	
"My Baby's Daddy"	Comedy	PG-13	USA 		0	0	n		7548819	1.9.04	1447	17321573	
Napoleon Dynamite	Comedy	PG	USA	1.5	0	0	n	400000	116666	6.11.04	6	44540956	206304
NASCAR: the Imax Experience	Documentary 	PG	USA / Canada 		0	0	n		1467406	3.12.04	68	20034225	
"National Lampoon's Gold Diggers"	Comedy	PG-13	USA		0	0	n		403164	9.17.04	1062	527000	
National Treasure	Adventure	PG	USA	2	0	0	n	100000000	35142554	11.19.04	3017	172975674	7054178
Ned Kelly	Drama	R	Australia / UK / France 		0	0	n		43704	3.26.04	22	74864	211643
Never Die Alone	Thriller	R	USA	3.5	0	0	n		3089993	3.26.04	1161	5644575	
New York Minute	Action	PG	USA	1.5	0	0	n	30000000	5962106	5.7.04	3006	14018364	276237
Nicotina	Comedy	R	Mexico / Argentina / Spain 		0	0	n		446768	8.20.04	96	800371	
"Ocean's Twelve"	Comedy	PG-13	USA / Australia	3	0	0	y	110000000	39153380	12.10.04	3290	125531634	12030148
Open Water	Drama	R	USA	3.5	0	0	n	130000	1100943	8.6.04	47	30500882	4818915
